seq	run	block	sp	tc
BBS12022	q3	all	0.732	0.530
BBS12022	q3	core	0.886	0.800
BB12011	q3-ipssp	all	0.643	0.400
BB12011	q3-ipssp	core	0.740	0.520
BB12040	q3	all	0.933	0.900
BB12040	q3	core	0.970	0.950
BB12042	sov-ipssp	all	0.604	0.400
BB12042	sov-ipssp	core	0.655	0.460
BB12030	sov-ipssp	all	0.869	0.720
BB12030	sov-ipssp	core	0.939	0.830
BBS12009	ref	all	0.797	0.540
BBS12009	ref	core	0.797	0.540
BB12042	sov	all	0.642	0.440
BB12042	sov	core	0.700	0.510
BBS12008	abs	all	0.907	0.670
BBS12008	abs	core	0.936	0.800
BBS12033	sov	all	0.681	0.410
BBS12033	sov	core	0.743	0.500
BB12014	sov-ipssp	all	0.986	0.930
BB12014	sov-ipssp	core	0.984	0.930
BBS12042	ref	all	0.571	0.340
BBS12042	ref	core	0.614	0.400
BB12011	ref	all	0.634	0.360
BB12011	ref	core	0.734	0.480
BBS12013	sov	all	0.925	0.830
BBS12013	sov	core	0.965	0.900
BB12028	sov-ipssp	all	0.781	0.570
BB12028	sov-ipssp	core	0.916	0.790
BB12024	q3-ipssp	all	0.872	0.760
BB12024	q3-ipssp	core	0.943	0.880
BBS12020	q3-ipssp	all	0.792	0.710
BBS12020	q3-ipssp	core	0.952	0.910
BB12019	abs	all	0.848	0.720
BB12019	abs	core	0.903	0.820
BB12002	abs	all	0.873	0.680
BB12002	abs	core	0.878	0.700
BB12004	q3	all	0.886	0.560
BB12004	q3	core	0.913	0.620
BB12044	abs	all	0.826	0.580
BB12044	abs	core	0.876	0.650
BB12012	sov	all	0.520	0.370
BB12012	sov	core	0.717	0.570
BBS12013	q3-ipssp	all	0.912	0.790
BBS12013	q3-ipssp	core	0.952	0.850
BB12017	sov-ipssp	all	0.856	0.670
BB12017	sov-ipssp	core	0.930	0.790
BB12006	sov-ipssp	all	0.856	0.810
BB12006	sov-ipssp	core	0.928	0.900
BB12031	ref	all	0.786	0.620
BB12031	ref	core	0.851	0.720
BBS12022	sov-ipssp	all	0.487	0.240
BBS12022	sov-ipssp	core	0.576	0.310
BBS12017	q3	all	0.873	0.710
BBS12017	q3	core	0.946	0.850
BB12017	q3	all	0.872	0.710
BB12017	q3	core	0.946	0.850
BB12031	q3-ipssp	all	0.792	0.620
BB12031	q3-ipssp	core	0.855	0.710
BBS12026	ref	all	0.867	0.610
BBS12026	ref	core	0.921	0.740
BBS12036	q3-ipssp	all	0.943	0.880
BBS12036	q3-ipssp	core	0.966	0.920
BBS12008	ref	all	0.890	0.600
BBS12008	ref	core	0.921	0.700
BB12010	q3-ipssp	all	0.875	0.700
BB12010	q3-ipssp	core	0.925	0.820
BB12022	q3-ipssp	all	0.773	0.560
BB12022	q3-ipssp	core	0.898	0.760
BB12017	sov	all	0.865	0.700
BB12017	sov	core	0.945	0.850
BBS12044	q3-ipssp	all	0.858	0.630
BBS12044	q3-ipssp	core	0.898	0.710
BBS12037	ref	all	0.765	0.440
BBS12037	ref	core	0.859	0.570
BB12019	ref	all	0.849	0.730
BB12019	ref	core	0.910	0.830
BBS12020	sov-ipssp	all	0.791	0.700
BBS12020	sov-ipssp	core	0.952	0.910
BB12006	ref	all	0.872	0.820
BB12006	ref	core	0.940	0.900
BBS12026	abs	all	0.866	0.560
BBS12026	abs	core	0.914	0.660
BB12031	sov	all	0.795	0.610
BB12031	sov	core	0.857	0.700
BBS12039	sov	all	0.279	0.000
BBS12039	sov	core	0.276	0.000
BBS12036	q3	all	0.952	0.900
BBS12036	q3	core	0.974	0.940
BBS12036	sov-ipssp	all	0.945	0.880
BBS12036	sov-ipssp	core	0.966	0.930
BBS12017	q3-ipssp	all	0.847	0.680
BBS12017	q3-ipssp	core	0.915	0.820
BBS12027	ref	all	0.893	0.690
BBS12027	ref	core	0.915	0.730
BBS12044	ref	all	0.850	0.640
BBS12044	ref	core	0.897	0.720
BB12001	sov	all	0.767	0.560
BB12001	sov	core	0.856	0.710
BBS12015	abs	all	0.966	0.920
BBS12015	abs	core	1.000	1.000
BBS12014	ref	all	0.905	0.690
BBS12014	ref	core	0.910	0.690
BBS12039	sov-ipssp	all	0.233	0.000
BBS12039	sov-ipssp	core	0.237	0.000
BBS12031	q3-ipssp	all	0.792	0.620
BBS12031	q3-ipssp	core	0.855	0.710
BBS12042	abs	all	0.622	0.410
BBS12042	abs	core	0.679	0.470
BBS12011	q3-ipssp	all	0.662	0.390
BBS12011	q3-ipssp	core	0.753	0.520
BBS12032	ref	all	0.828	0.570
BBS12032	ref	core	0.912	0.740
BB12011	sov	all	0.666	0.380
BB12011	sov	core	0.761	0.500
BB12025	ref	all	0.778	0.600
BB12025	ref	core	0.883	0.790
BBS12030	q3-ipssp	all	0.911	0.790
BBS12030	q3-ipssp	core	0.964	0.900
BBS12018	ref	all	0.885	0.830
BBS12018	ref	core	0.920	0.880
BB12020	abs	all	0.817	0.730
BB12020	abs	core	0.959	0.920
BB12023	sov	all	0.798	0.660
BB12023	sov	core	0.836	0.710
BB12044	ref	all	0.845	0.630
BB12044	ref	core	0.895	0.710
BBS12028	ref	all	0.749	0.510
BBS12028	ref	core	0.888	0.740
BBS12039	ref	all	0.893	0.650
BBS12039	ref	core	0.947	0.820
BB12020	q3	all	0.817	0.730
BB12020	q3	core	0.959	0.920
BBS12027	sov	all	0.893	0.700
BBS12027	sov	core	0.924	0.750
BB12015	sov-ipssp	all	0.932	0.800
BB12015	sov-ipssp	core	0.994	0.960
BBS12032	sov-ipssp	all	0.800	0.360
BBS12032	sov-ipssp	core	0.856	0.510
BBS12022	sov	all	0.732	0.530
BBS12022	sov	core	0.886	0.800
BBS12034	ref	all	0.882	0.780
BBS12034	ref	core	0.915	0.840
BBS12012	ref	all	0.566	0.380
BBS12012	ref	core	0.735	0.590
BBS12025	sov	all	0.757	0.570
BBS12025	sov	core	0.878	0.760
BBS12023	sov-ipssp	all	0.746	0.580
BBS12023	sov-ipssp	core	0.788	0.650
BB12019	q3-ipssp	all	0.850	0.720
BB12019	q3-ipssp	core	0.905	0.820
BB12034	sov-ipssp	all	0.886	0.790
BB12034	sov-ipssp	core	0.912	0.830
BB12039	ref	all	0.926	0.800
BB12039	ref	core	0.968	0.940
BB12029	abs	all	0.842	0.860
BB12029	abs	core	0.975	0.920
BB12006	sov	all	0.870	0.810
BB12006	sov	core	0.943	0.900
BBS12038	abs	all	0.805	0.490
BBS12038	abs	core	0.926	0.770
BB12007	q3	all	0.827	0.670
BB12007	q3	core	0.866	0.720
BBS12009	q3-ipssp	all	0.815	0.540
BBS12009	q3-ipssp	core	0.816	0.540
BB12009	ref	all	0.723	0.500
BB12009	ref	core	0.727	0.510
BB12039	q3	all	0.427	0.000
BB12039	q3	core	0.405	0.000
BBS12037	q3	all	0.766	0.480
BBS12037	q3	core	0.844	0.580
BB12040	q3-ipssp	all	0.934	0.900
BB12040	q3-ipssp	core	0.970	0.950
BBS12028	sov	all	0.748	0.530
BBS12028	sov	core	0.895	0.750
BBS12005	sov-ipssp	all	0.834	0.550
BBS12005	sov-ipssp	core	0.900	0.700
BBS12029	q3-ipssp	all	0.957	0.880
BBS12029	q3-ipssp	core	0.976	0.920
BB12014	sov	all	0.959	0.810
BB12014	sov	core	0.953	0.790
BBS12009	abs	all	0.815	0.540
BBS12009	abs	core	0.816	0.540
BB12025	abs	all	0.722	0.540
BB12025	abs	core	0.841	0.730
BBS12008	q3-ipssp	all	0.898	0.600
BBS12008	q3-ipssp	core	0.925	0.680
BBS12014	sov-ipssp	all	0.977	0.890
BBS12014	sov-ipssp	core	0.974	0.880
BB12018	sov-ipssp	all	0.874	0.810
BB12018	sov-ipssp	core	0.911	0.860
BBS12017	ref	all	0.872	0.710
BBS12017	ref	core	0.937	0.830
BB12033	sov-ipssp	all	0.682	0.440
BB12033	sov-ipssp	core	0.774	0.570
BBS12043	sov-ipssp	all	0.850	0.420
BBS12043	sov-ipssp	core	0.924	0.750
BBS12018	sov	all	0.891	0.830
BBS12018	sov	core	0.924	0.870
BB12003	ref	all	0.856	0.750
BB12003	ref	core	0.917	0.830
BB12019	sov-ipssp	all	0.847	0.710
BB12019	sov-ipssp	core	0.907	0.820
BBS12034	sov-ipssp	all	0.886	0.790
BBS12034	sov-ipssp	core	0.912	0.830
BB12021	ref	all	0.776	0.650
BB12021	ref	core	0.903	0.820
BB12007	q3-ipssp	all	0.825	0.640
BB12007	q3-ipssp	core	0.861	0.680
BB12029	ref	all	0.844	0.870
BB12029	ref	core	0.977	0.930
BBS12018	q3-ipssp	all	0.880	0.800
BBS12018	q3-ipssp	core	0.916	0.850
BBS12038	q3-ipssp	all	0.779	0.480
BBS12038	q3-ipssp	core	0.906	0.750
BBS12032	sov	all	0.766	0.340
BBS12032	sov	core	0.856	0.510
BB12001	abs	all	0.735	0.500
BB12001	abs	core	0.837	0.660
BBS12041	sov	all	0.629	0.360
BBS12041	sov	core	0.864	0.630
BB12043	sov-ipssp	all	0.864	0.460
BB12043	sov-ipssp	core	0.920	0.710
BBS12031	sov	all	0.799	0.630
BBS12031	sov	core	0.862	0.720
BB12026	sov-ipssp	all	0.853	0.550
BB12026	sov-ipssp	core	0.905	0.660
BBS12043	q3-ipssp	all	0.851	0.400
BBS12043	q3-ipssp	core	0.909	0.580
BBS12004	abs	all	0.889	0.560
BBS12004	abs	core	0.919	0.630
BB12005	ref	all	0.842	0.510
BB12005	ref	core	0.918	0.640
BBS12043	q3	all	0.911	0.510
BBS12043	q3	core	0.983	0.810
BB12036	abs	all	0.939	0.860
BB12036	abs	core	0.962	0.910
BB12037	q3	all	0.716	0.470
BB12037	q3	core	0.851	0.640
BBS12011	sov	all	0.660	0.370
BBS12011	sov	core	0.758	0.500
BBS12020	sov	all	0.817	0.730
BBS12020	sov	core	0.959	0.920
BBS12026	sov-ipssp	all	0.860	0.560
BBS12026	sov-ipssp	core	0.913	0.660
BB12009	sov-ipssp	all	0.732	0.450
BB12009	sov-ipssp	core	0.736	0.460
BB12001	ref	all	0.739	0.510
BB12001	ref	core	0.828	0.670
BBS12032	abs	all	0.841	0.530
BBS12032	abs	core	0.895	0.660
BB12029	q3-ipssp	all	0.849	0.880
BB12029	q3-ipssp	core	0.977	0.920
